Date,Price,Open,High,Low,Change %
2001-01-01,1504.0,1599.0,1599.0,1504.0,-5.94
2001-02-01,1537.0,1493.0,1537.0,1445.0,2.19
2001-03-01,1438.0,1538.0,1538.0,1438.0,-6.44
2001-04-01,1459.0,1430.0,1463.0,1423.0,1.46
2001-05-01,1389.0,1453.0,1481.0,1389.0,-4.8
2001-06-01,1386.0,1382.0,1394.0,1355.0,-0.22
2001-07-01,1049.0,1380.0,1380.0,1049.0,-24.31
2001-08-01,927.0,1037.0,1037.0,927.0,-11.63
2001-09-01,952.0,918.0,995.0,898.0,2.7
2001-10-01,861.0,939.0,939.0,861.0,-9.56
2001-11-01,868.0,853.0,868.0,843.0,0.81
2001-12-01,876.0,868.0,876.0,865.0,0.92
2002-01-01,908.0,882.0,969.0,882.0,3.65
2002-02-01,1031.0,908.0,1031.0,908.0,13.55
2002-03-01,1082.0,1033.0,1086.0,1033.0,4.95
2002-04-01,1027.0,1081.0,1104.0,1027.0,-5.08
2002-05-01,1042.0,1020.0,1046.0,1016.0,1.46
2002-06-01,1005.0,1027.0,1027.0,978.0,-3.55
2002-07-01,968.0,1005.0,1007.0,962.0,-3.68
2002-08-01,1036.0,970.0,1036.0,970.0,7.02
2002-09-01,1367.0,1039.0,1367.0,1039.0,31.95
2002-10-01,1417.0,1371.0,1417.0,1334.0,3.66
2002-11-01,1560.0,1428.0,1560.0,1428.0,10.09
2002-12-01,1738.0,1573.0,1739.0,1573.0,11.41
2003-01-01,1530.0,1738.0,1761.0,1530.0,-11.97
2003-02-01,1764.0,1530.0,1768.0,1530.0,15.29
2003-03-01,1939.0,1762.0,1940.0,1748.0,9.92
2003-04-01,2142.0,1943.0,2142.0,1943.0,10.47
2003-05-01,2127.0,2145.0,2337.0,2127.0,-0.7
2003-06-01,2125.0,2116.0,2154.0,2116.0,-0.09
2003-07-01,2181.0,2123.0,2240.0,2123.0,2.64
2003-08-01,2265.0,2176.0,2343.0,2176.0,3.85
2003-09-01,2993.0,2262.0,2993.0,2262.0,32.14
2003-10-01,4555.0,3138.0,4560.0,3138.0,52.19
2003-11-01,4417.0,4558.0,4558.0,4026.0,-3.03
2003-12-01,4765.0,4442.0,4765.0,4442.0,7.88
2004-01-01,5551.0,4761.0,5551.0,4757.0,16.5
2004-02-01,5263.0,5618.0,5681.0,5242.0,-5.19
2004-03-01,4822.0,5205.0,5384.0,4822.0,-8.38
2004-04-01,3982.0,4763.0,4763.0,3982.0,-17.42
2004-05-01,3286.0,3933.0,3933.0,3286.0,-17.48
2004-06-01,3005.0,3282.0,3282.0,2622.0,-8.55
2004-07-01,4048.0,3115.0,4086.0,3115.0,34.71
2004-08-01,4186.0,4100.0,4233.0,4088.0,3.41
2004-09-01,4105.0,4134.0,4233.0,4014.0,-1.94
2004-10-01,4922.0,4112.0,4922.0,4112.0,19.9
2004-11-01,6051.0,4928.0,6051.0,4928.0,22.94
2004-12-01,4598.0,6092.0,6208.0,4598.0,-24.01
2005-01-01,4488.0,4456.0,4776.0,4292.0,-2.39
2005-02-01,4726.0,4470.0,4880.0,4175.0,5.3
2005-03-01,4637.0,4663.0,4791.0,4575.0,-1.88
2005-04-01,3850.0,4627.0,4835.0,3850.0,-16.97
2005-05-01,3219.0,3815.0,4024.0,3219.0,-16.39
2005-06-01,2521.0,3180.0,3180.0,2510.0,-21.68
2005-07-01,1804.0,2486.0,2486.0,1804.0,-28.44
2005-08-01,2592.0,1769.0,2634.0,1747.0,43.68
2005-09-01,2907.0,2548.0,3073.0,2418.0,12.15
2005-10-01,3113.0,2944.0,3370.0,2944.0,7.09
2005-11-01,2770.0,3081.0,3081.0,2739.0,-11.02
2005-12-01,2407.0,2772.0,2772.0,2407.0,-13.1
2006-01-01,2081.0,2438.0,2497.0,2033.0,-13.54
2006-02-01,2680.0,2087.0,2798.0,2087.0,28.78
2006-03-01,2496.0,2708.0,2708.0,2493.0,-6.87
2006-04-01,2368.0,2508.0,2516.0,2368.0,-5.13
2006-05-01,2436.0,2364.0,2502.0,2364.0,2.87
2006-06-01,2964.0,2478.0,2964.0,2478.0,21.67
2006-07-01,3285.0,2983.0,3285.0,2849.0,10.83
2006-08-01,3847.0,3337.0,3847.0,3337.0,17.11
2006-09-01,3944.0,3875.0,4279.0,3875.0,2.52
2006-10-01,4037.0,3956.0,4182.0,3931.0,2.36
2006-11-01,4336.0,4100.0,4336.0,4100.0,7.41
2006-12-01,4397.0,4369.0,4407.0,4270.0,1.41
2007-01-01,4225.0,4421.0,4647.0,4225.0,-3.91
2007-02-01,4765.0,4219.0,4765.0,4219.0,12.78
2007-03-01,5388.0,4818.0,5388.0,4818.0,13.07
2007-04-01,6248.0,5417.0,6248.0,5417.0,15.96
2007-05-01,5971.0,6255.0,6688.0,5971.0,-4.43
2007-06-01,6278.0,5983.0,6278.0,5254.0,5.14
2007-07-01,6967.0,6304.0,6967.0,6201.0,10.97
2007-08-01,7702.0,6993.0,7702.0,6917.0,10.55
2007-09-01,9474.0,7783.0,9474.0,7783.0,23.01
2007-10-01,10656.0,9537.0,11033.0,9513.0,12.48
2007-11-01,10210.0,10581.0,11039.0,9897.0,-4.19
2007-12-01,9143.0,10270.0,10285.0,9143.0,-10.45
2008-01-01,6052.0,8891.0,8891.0,5615.0,-33.81
2008-02-01,7613.0,6134.0,7613.0,6002.0,25.79
2008-03-01,8081.0,7878.0,8624.0,7619.0,6.15
2008-04-01,9356.0,7890.0,9356.0,7655.0,15.78
2008-05-01,11440.0,9439.0,11793.0,9439.0,22.27
2008-06-01,9589.0,11458.0,11689.0,9139.0,-16.18
2008-07-01,8341.0,9379.0,9379.0,8341.0,-13.01
2008-08-01,6809.0,8280.0,8280.0,6809.0,-18.37
2008-09-01,3217.0,6691.0,6691.0,3217.0,-52.75
2008-10-01,851.0,3025.0,3025.0,851.0,-73.55
2008-11-01,715.0,827.0,865.0,715.0,-15.98
2008-12-01,774.0,700.0,836.0,663.0,8.25
2009-01-01,1070.0,773.0,1070.0,772.0,38.24
2009-02-01,1986.0,1099.0,2099.0,1099.0,85.61
2009-03-01,1615.0,2014.0,2298.0,1615.0,-18.68
2009-04-01,1786.0,1574.0,1897.0,1463.0,10.59
2009-05-01,3494.0,1806.0,3494.0,1806.0,95.63
2009-06-01,3757.0,3681.0,4291.0,3452.0,7.53
2009-07-01,3350.0,3742.0,3742.0,2975.0,-10.83
2009-08-01,2421.0,3251.0,3251.0,2388.0,-27.73
2009-09-01,2220.0,2423.0,2492.0,2163.0,-8.3
2009-10-01,3103.0,2284.0,3103.0,2284.0,39.77
2009-11-01,3887.0,3185.0,4661.0,3185.0,25.27
2009-12-01,3005.0,3836.0,4107.0,3005.0,-22.69
2010-01-01,2848.0,3140.0,3299.0,2848.0,-5.22
2010-02-01,2738.0,2745.0,2745.0,2566.0,-3.86
