Date,Handysize_Index,Supramax_Index,Panamax_Index,Capesize_Index
2015-01-01,430,533,570,693
2015-01-02,430,533,570,693
2015-01-05,430,533,570,693
2015-01-06,430,533,570,693
2015-01-07,430,533,570,693
2015-01-08,430,533,570,693
2015-01-09,429,532,570,694
2015-01-12,429,532,570,694
2015-01-13,429,532,569,694
2015-01-14,429,532,569,694
2015-01-15,429,532,569,694
2015-01-16,429,532,569,694
2015-01-19,428,531,569,694
2015-01-20,428,531,569,694
2015-01-21,428,531,569,694
2015-01-22,428,531,569,694
2015-01-23,428,531,569,695
2015-01-26,427,530,569,695
2015-01-27,427,530,569,695
2015-01-28,427,530,568,695
2015-01-29,427,530,568,695
2015-01-30,427,530,568,695
2015-02-02,426,529,568,695
2015-02-03,426,529,568,695
2015-02-04,426,529,568,695
2015-02-05,426,529,568,695
2015-02-06,426,529,568,695
2015-02-09,425,528,567,695
2015-02-10,425,528,567,695
2015-02-11,425,528,567,695
2015-02-12,425,528,567,695
2015-02-13,425,528,567,695
2015-02-16,424,527,566,695
2015-02-17,424,527,566,695
2015-02-18,424,527,566,695
2015-02-19,424,527,566,695
2015-02-20,424,526,566,695
2015-02-23,423,526,565,695
2015-02-24,423,526,565,695
2015-02-25,423,525,565,694
2015-02-26,423,525,565,694
2015-02-27,422,525,565,694
2015-03-02,422,524,564,694
2015-03-03,422,524,564,694
2015-03-04,422,524,564,694
2015-03-05,421,524,563,694
2015-03-06,421,523,563,694
2015-03-09,421,523,563,693
2015-03-10,420,523,562,693
2015-03-11,420,522,562,693
2015-03-12,420,522,562,693
2015-03-13,420,522,562,693
2015-03-16,419,521,561,692
2015-03-17,419,521,561,692
2015-03-18,419,521,561,692
2015-03-19,419,520,560,691
2015-03-20,419,520,560,691
2015-03-23,418,519,559,691
2015-03-24,418,519,559,690
2015-03-25,418,519,559,690
2015-03-26,418,519,559,690
2015-03-27,417,518,558,690
2015-03-30,417,518,557,689
2015-03-31,417,517,557,689
2015-04-01,417,517,557,688
2015-04-02,416,517,557,688
2015-04-03,416,517,557,688
2015-04-06,416,516,556,688
2015-04-07,416,516,556,688
2015-04-08,416,516,556,688
2015-04-09,416,516,556,687
2015-04-10,416,516,555,687
2015-04-13,415,515,555,687
2015-04-14,415,515,555,687
2015-04-15,415,515,554,687
2015-04-16,415,514,554,686
2015-04-17,415,514,554,686
2015-04-20,414,514,553,686
2015-04-21,414,514,553,685
2015-04-22,414,513,553,685
2015-04-23,414,513,553,685
2015-04-24,414,513,553,685
2015-04-27,414,512,552,684
2015-04-28,414,512,552,684
2015-04-29,414,512,552,683
2015-04-30,413,512,551,683
2015-05-01,413,512,551,683
2015-05-04,425,528,571,712
2015-05-05,429,533,578,722
2015-05-06,432,538,585,732
2015-05-07,436,543,591,741
2015-05-08,440,549,598,751
2015-05-11,451,564,618,781
2015-05-12,455,570,625,791
2015-05-13,459,575,632,801
2015-05-14,463,580,638,810
2015-05-15,466,585,645,820
2015-05-18,478,601,665,850
2015-05-19,481,606,672,860
2015-05-20,485,611,679,870
2015-05-21,489,616,685,880
2015-05-22,492,622,692,890
2015-05-25,504,637,712,920
2015-05-26,507,642,719,930
2015-05-27,511,647,726,940
2015-05-28,515,653,733,950
2015-05-29,518,658,739,960
2015-06-01,529,673,759,991
2015-06-02,535,681,770,1007
2015-06-03,541,690,781,1024
2015-06-04,547,698,793,1041
2015-06-05,553,706,804,1057
2015-06-08,570,731,837,1108
2015-06-09,576,740,848,1125
2015-06-10,582,748,859,1142
2015-06-11,588,756,870,1159
2015-06-12,594,765,881,1176
2015-06-15,611,789,915,1227
2015-06-16,617,798,926,1244
2015-06-17,622,806,937,1261
2015-06-18,628,814,948,1279
2015-06-19,634,822,959,1296
2015-06-22,651,847,992,1348
2015-06-23,657,855,1003,1365
2015-06-24,662,863,1015,1383
2015-06-25,668,871,1026,1400
2015-06-26,674,879,1037,1417
2015-06-29,690,904,1070,1470
2015-06-30,696,912,1082,1487
2015-07-01,702,920,1093,1505
2015-07-02,700,917,1089,1498
2015-07-03,698,914,1084,1491
2015-07-06,692,906,1072,1470
2015-07-07,690,903,1068,1463
2015-07-08,688,900,1063,1456
2015-07-09,686,897,1059,1449
2015-07-10,685,894,1055,1443
2015-07-13,679,885,1043,1422
2015-07-14,677,882,1038,1415
2015-07-15,675,880,1034,1408
2015-07-16,673,877,1030,1402
2015-07-17,671,874,1026,1395
2015-07-20,666,865,1014,1375
2015-07-21,664,862,1010,1368
2015-07-22,662,860,1006,1361
2015-07-23,660,857,1002,1355
2015-07-24,658,854,997,1348
2015-07-27,652,845,985,1328
2015-07-28,651,843,981,1321
2015-07-29,649,840,977,1315
2015-07-30,647,837,973,1308
2015-07-31,645,834,969,1302
2015-08-03,639,826,957,1282
2015-08-04,637,823,953,1276
2015-08-05,635,820,949,1269
2015-08-06,634,817,945,1263
2015-08-07,632,814,941,1256
2015-08-10,626,806,930,1237
2015-08-11,624,803,926,1231
2015-08-12,622,800,922,1224
2015-08-13,620,798,918,1218
2015-08-14,618,795,914,1212
2015-08-17,613,787,902,1193
2015-08-18,611,784,898,1187
2015-08-19,609,781,894,1180
2015-08-20,607,778,891,1174
2015-08-21,605,775,887,1168
2015-08-24,600,767,875,1150
2015-08-25,598,764,871,1143
2015-08-26,596,762,867,1137
2015-08-27,594,759,864,1131
2015-08-28,592,756,860,1125
2015-08-31,586,748,848,1107
2015-09-01,584,745,845,1101
2015-09-02,581,741,839,1092
2015-09-03,578,736,833,1082
2015-09-04,575,732,827,1073
2015-09-07,566,718,809,1045
2015-09-08,563,714,803,1036
2015-09-09,560,710,797,1027
2015-09-10,556,705,791,1018
2015-09-11,553,701,785,1008
2015-09-14,544,687,767,981
2015-09-15,541,683,761,972
2015-09-16,538,678,755,963
2015-09-17,534,674,749,954
2015-09-18,531,669,743,945
2015-09-21,522,656,725,919
2015-09-22,519,651,719,910
2015-09-23,515,647,713,901
2015-09-24,512,642,708,892
2015-09-25,509,638,702,883
2015-09-28,499,624,684,857
2015-09-29,496,620,678,848
2015-09-30,493,615,672,840
2015-10-01,490,611,666,831
2015-10-02,487,608,663,826
2015-10-05,481,599,651,808
2015-10-06,479,596,647,803
2015-10-07,477,593,643,797
2015-10-08,475,590,640,791
2015-10-09,472,587,636,786
2015-10-12,466,578,624,769
2015-10-13,464,575,620,763
2015-10-14,462,572,617,758
2015-10-15,459,569,613,752
2015-10-16,457,566,609,747
2015-10-19,451,557,597,730
2015-10-20,448,554,594,725
2015-10-21,446,551,590,719
2015-10-22,444,548,586,714
2015-10-23,442,545,582,708
2015-10-26,435,536,571,692
2015-10-27,433,533,567,687
2015-10-28,431,530,563,681
2015-10-29,429,527,559,676
2015-10-30,426,524,556,671
2015-11-02,420,515,544,655
2015-11-03,417,512,541,649
2015-11-04,415,509,537,644
2015-11-05,413,506,533,639
2015-11-06,411,503,529,634
2015-11-09,404,493,518,618
2015-11-10,402,490,514,613
2015-11-11,399,487,510,607
2015-11-12,397,484,507,602
2015-11-13,395,481,503,597
2015-11-16,388,472,492,581
2015-11-17,385,469,488,576
2015-11-18,383,466,484,571
2015-11-19,381,462,480,566
2015-11-20,379,459,476,561
2015-11-23,372,450,465,546
2015-11-24,369,447,461,540
2015-11-25,367,444,458,535
2015-11-26,364,441,454,530
2015-11-27,362,437,450,525
2015-11-30,355,428,439,510
2015-12-01,353,425,435,505
2015-12-02,350,421,430,498
2015-12-03,346,417,425,492
2015-12-04,343,412,420,485
2015-12-07,334,400,405,465
2015-12-08,331,396,400,459
2015-12-09,328,391,395,452
2015-12-10,324,387,390,446
2015-12-11,321,383,386,439
2015-12-14,312,370,371,420
2015-12-15,308,366,366,414
2015-12-16,305,362,361,407
2015-12-17,302,358,356,401
2015-12-18,299,353,351,394
2015-12-21,289,340,336,375
2015-12-22,286,336,331,369
2015-12-23,282,332,326,363
2015-12-24,279,328,321,357
2015-12-25,276,323,316,350
2015-12-28,266,310,302,332
2015-12-29,262,306,297,325
2015-12-30,259,302,292,319
2015-12-31,256,297,287,313
2016-01-01,252,293,282,307
2016-01-04,253,294,283,309
2016-01-05,253,294,284,309
2016-01-06,254,295,284,310
2016-01-07,254,295,285,311
2016-01-08,254,295,285,311
2016-01-11,255,296,287,313
2016-01-12,255,297,287,314
2016-01-13,255,297,287,315
2016-01-14,255,298,288,315
2016-01-15,256,298,288,316
2016-01-18,256,299,290,318
2016-01-19,257,299,290,318
2016-01-20,257,300,291,319
2016-01-21,257,300,291,320
2016-01-22,257,300,291,320
2016-01-25,258,301,293,322
2016-01-26,258,302,293,323
2016-01-27,259,302,294,323
2016-01-28,259,302,294,324
2016-01-29,259,303,294,325
2016-02-01,260,304,296,326
2016-02-02,262,307,299,331
2016-02-03,264,310,303,335
2016-02-04,266,312,306,340
2016-02-05,269,315,309,344
2016-02-08,275,324,320,358
2016-02-09,277,327,323,362
2016-02-10,279,330,326,367
2016-02-11,282,333,330,371
2016-02-12,284,336,333,376
2016-02-15,290,344,344,390
2016-02-16,292,347,347,394
2016-02-17,295,350,350,399
2016-02-18,297,353,354,403
2016-02-19,299,356,357,408
2016-02-22,305,364,368,422
2016-02-23,307,367,371,427
2016-02-24,309,370,374,431
2016-02-25,311,373,378,436
2016-02-26,314,376,381,441
2016-02-29,320,384,392,455
2016-03-01,322,387,395,459
2016-03-02,327,394,404,471
2016-03-03,333,402,413,483
2016-03-04,338,409,421,496
2016-03-07,354,431,448,532
2016-03-08,359,438,457,545
2016-03-09,364,445,466,557
2016-03-10,370,452,475,569
2016-03-11,375,459,483,582
2016-03-14,390,481,510,620
2016-03-15,395,488,519,632
2016-03-16,400,495,528,645
2016-03-17,406,502,537,658
2016-03-18,411,509,546,671
2016-03-21,426,530,573,710
2016-03-22,431,537,582,723
2016-03-23,436,544,591,736
2016-03-24,441,551,600,749
2016-03-25,446,558,609,762
2016-03-28,461,579,636,802
2016-03-29,466,586,645,815
2016-03-30,470,593,654,828
2016-03-31,475,600,663,842
2016-04-01,480,606,672,855
2016-04-04,479,604,669,852
2016-04-05,478,604,668,851
2016-04-06,478,603,667,850
2016-04-07,477,602,667,849
2016-04-08,477,602,666,847
2016-04-11,475,599,663,844
2016-04-12,475,599,662,843
2016-04-13,474,598,661,842
2016-04-14,474,597,660,841
2016-04-15,474,597,660,839
2016-04-18,472,595,657,836
2016-04-19,472,594,656,835
2016-04-20,471,593,655,834
2016-04-21,471,592,654,832
2016-04-22,470,592,653,831
2016-04-25,469,590,651,827
2016-04-26,468,589,650,826
2016-04-27,468,588,649,825
2016-04-28,467,587,648,824
2016-04-29,467,587,647,822
2016-05-02,465,585,644,819
2016-05-03,465,584,643,817
2016-05-04,465,583,643,816
2016-05-05,464,583,642,815
2016-05-06,464,582,641,814
2016-05-09,462,580,638,810
2016-05-10,462,579,637,808
2016-05-11,461,578,636,807
2016-05-12,461,578,635,806
2016-05-13,460,577,634,804
2016-05-16,459,575,632,800
2016-05-17,459,574,631,799
2016-05-18,458,573,630,798
2016-05-19,458,573,629,796
2016-05-20,457,572,628,795
2016-05-23,456,570,625,791
2016-05-24,455,569,624,790
2016-05-25,455,569,623,788
2016-05-26,455,568,622,787
2016-05-27,454,567,621,785
2016-05-30,453,565,619,781
2016-05-31,452,564,618,780
2016-06-01,452,564,617,779
2016-06-02,452,563,616,778
2016-06-03,452,563,616,777
2016-06-06,451,563,615,776
2016-06-07,451,562,615,775
2016-06-08,451,562,614,775
2016-06-09,451,562,614,774
2016-06-10,451,562,614,774
2016-06-13,451,561,613,772
2016-06-14,450,561,612,771
2016-06-15,450,561,612,771
2016-06-16,450,560,612,770
2016-06-17,450,560,611,770
2016-06-20,450,560,610,768
2016-06-21,450,559,610,767
2016-06-22,450,559,610,767
2016-06-23,450,559,609,766
2016-06-24,449,559,609,765
2016-06-27,449,558,608,764
2016-06-28,449,558,608,763
2016-06-29,449,558,607,763
2016-06-30,449,558,607,762
2016-07-01,449,557,607,761
2016-07-04,452,561,611,768
2016-07-05,453,563,613,770
2016-07-06,454,564,615,772
2016-07-07,455,565,616,774
2016-07-08,456,567,618,777
2016-07-11,459,571,623,783
2016-07-12,460,572,624,785
2016-07-13,461,573,626,787
2016-07-14,462,575,627,790
2016-07-15,463,576,629,792
2016-07-18,466,580,634,798
2016-07-19,467,581,635,801
2016-07-20,468,583,637,803
2016-07-21,469,584,639,805
2016-07-22,470,585,640,807
2016-07-25,473,589,645,814
2016-07-26,474,591,647,816
2016-07-27,475,592,648,818
2016-07-28,476,593,650,820
2016-07-29,477,595,652,823
2016-08-01,480,599,657,829
2016-08-02,483,603,662,836
2016-08-03,486,607,667,844
2016-08-04,489,611,672,851
2016-08-05,492,615,677,859
2016-08-08,501,628,693,881
2016-08-09,504,632,698,888
2016-08-10,507,636,703,896
