Date,Price,Open,High,Low,Change %
2020-07-10,1810.0,1810.0,1810.0,1810.0,0.0
2020-07-13,1792.0,1792.0,1792.0,1792.0,-0.99
2020-07-14,1742.0,1742.0,1742.0,1742.0,-2.79
2020-07-15,1696.0,1696.0,1696.0,1696.0,-2.64
2020-07-16,1699.0,1699.0,1699.0,1699.0,0.18
2020-07-17,1710.0,1710.0,1710.0,1710.0,0.65
2020-07-20,1678.0,1678.0,1678.0,1678.0,-1.87
2020-07-21,1594.0,1594.0,1594.0,1594.0,-5.01
2020-07-22,1473.0,1473.0,1473.0,1473.0,-7.59
2020-07-23,1388.0,1388.0,1388.0,1388.0,-5.77
2020-07-24,1317.0,1317.0,1317.0,1317.0,-5.12
2020-07-27,1293.0,1293.0,1293.0,1293.0,-1.82
2020-07-28,1264.0,1264.0,1264.0,1264.0,-2.24
2020-07-29,1317.0,1317.0,1317.0,1317.0,4.19
2020-07-30,1348.0,1348.0,1348.0,1348.0,2.35
2020-07-31,1350.0,1350.0,1350.0,1350.0,0.15
2020-08-03,1385.0,1385.0,1385.0,1385.0,2.59
2020-08-07,1501.0,1501.0,1501.0,1501.0,8.38
2020-08-10,1506.0,1506.0,1506.0,1506.0,0.33
2020-08-11,1510.0,1510.0,1510.0,1510.0,0.27
2020-08-12,1540.0,1540.0,1540.0,1540.0,1.99
2020-08-13,1577.0,1577.0,1577.0,1577.0,2.4
2020-08-14,1595.0,1595.0,1595.0,1595.0,1.14
2020-08-17,1598.0,1598.0,1598.0,1598.0,0.19
2020-08-18,1586.0,1586.0,1586.0,1586.0,-0.75
2020-08-19,1568.0,1568.0,1568.0,1568.0,-1.13
2020-08-20,1518.0,1518.0,1518.0,1518.0,-3.19
2020-08-21,1481.0,1481.0,1481.0,1481.0,-2.44
2020-08-24,1491.0,1491.0,1491.0,1491.0,0.68
2020-08-25,1518.0,1518.0,1518.0,1518.0,1.81
2020-08-26,1509.0,1509.0,1509.0,1509.0,-0.59
2020-08-27,1504.0,1504.0,1504.0,1504.0,-0.33
2020-08-28,1488.0,1488.0,1488.0,1488.0,-1.06
2020-09-01,1471.0,1471.0,1471.0,1471.0,-1.14
2020-09-02,1445.0,1445.0,1445.0,1445.0,-1.77
2020-09-03,1395.0,1395.0,1395.0,1395.0,-3.46
2020-09-04,1362.0,1362.0,1362.0,1362.0,-2.37
2020-09-07,1349.0,1349.0,1349.0,1349.0,-0.95
2020-09-08,1328.0,1328.0,1328.0,1328.0,-1.56
2020-09-09,1296.0,1296.0,1296.0,1296.0,-2.41
2020-09-10,1269.0,1269.0,1269.0,1269.0,-2.08
2020-09-11,1267.0,1267.0,1267.0,1267.0,-0.16
2020-09-14,1282.0,1282.0,1282.0,1282.0,1.18
2020-09-15,1289.0,1289.0,1289.0,1289.0,0.55
2020-09-16,1281.0,1281.0,1281.0,1281.0,-0.62
2020-09-17,1294.0,1294.0,1294.0,1294.0,1.01
2020-09-18,1296.0,1296.0,1296.0,1296.0,0.15
2020-09-21,1314.0,1314.0,1314.0,1314.0,1.39
2020-09-22,1364.0,1364.0,1364.0,1364.0,3.81
2020-09-23,1426.0,1426.0,1426.0,1426.0,4.55
2020-09-24,1605.0,1605.0,1605.0,1605.0,12.55
2020-09-25,1667.0,1667.0,1667.0,1667.0,3.86
2020-09-28,1654.0,1654.0,1654.0,1654.0,-0.78
2020-09-29,1658.0,1658.0,1658.0,1658.0,0.24
2020-09-30,1725.0,1725.0,1725.0,1725.0,4.04
2020-10-01,1869.0,1869.0,1869.0,1869.0,8.35
2020-10-02,2020.0,2020.0,2020.0,2020.0,8.08
2020-10-05,2071.0,2071.0,2071.0,2071.0,2.52
2020-10-06,2097.0,2097.0,2097.0,2097.0,1.26
2020-10-07,2044.0,2044.0,2044.0,2044.0,-2.53
2020-10-08,1970.0,1970.0,1970.0,1970.0,-3.62
2020-10-09,1892.0,1892.0,1892.0,1892.0,-3.96
2020-10-12,1807.0,1807.0,1807.0,1807.0,-4.49
2020-10-13,1732.0,1732.0,1732.0,1732.0,-4.15
2020-10-14,1637.0,1637.0,1637.0,1637.0,-5.48
2020-10-15,1561.0,1561.0,1561.0,1561.0,-4.64
2020-10-16,1477.0,1477.0,1477.0,1477.0,-5.38
2020-10-19,1409.0,1409.0,1409.0,1409.0,-4.6
2020-10-20,1350.0,1350.0,1350.0,1350.0,-4.19
2020-10-21,1346.0,1346.0,1346.0,1346.0,-0.3
2020-10-22,1401.0,1401.0,1401.0,1401.0,4.09
2020-10-23,1415.0,1415.0,1415.0,1415.0,1.0
2020-10-26,1402.0,1402.0,1402.0,1402.0,-0.92
2020-10-27,1413.0,1413.0,1413.0,1413.0,0.78
2020-10-28,1384.0,1384.0,1384.0,1384.0,-2.05
2020-10-29,1297.0,1297.0,1297.0,1297.0,-6.29
2020-10-30,1283.0,1283.0,1283.0,1283.0,-1.08
2020-11-02,1284.0,1284.0,1284.0,1284.0,0.08
2020-11-03,1263.0,1263.0,1263.0,1263.0,-1.64
2020-11-04,1224.0,1224.0,1224.0,1224.0,-3.09
2020-11-05,1194.0,1194.0,1194.0,1194.0,-2.45
2020-11-06,1196.0,1196.0,1196.0,1196.0,0.17
