port,fiscal_year,overseas_unloaded,overseas_loaded,overseas_total,coastal_unloaded,coastal_loaded,coastal_total,total_unloaded,total_loaded,total_traffic
Chennai,2005-06,23247.0,18064.0,41311.0,3956.0,1981.0,5937.0,27203.0,20045.0,47248
Chennai,2006-07,26195.0,21337.0,47532.0,4564.0,1318.0,5882.0,30759.0,22655.0,53414
Chennai,2007-08,28526.0,23369.0,51895.0,4333.0,926.0,5259.0,32859.0,24295.0,57154
Chennai,2008-09,30028.0,21983.0,52011.0,4617.0,863.0,5480.0,34645.0,22846.0,57491
Chennai,2009-10,33875.0,22219.0,56094.0,4239.0,724.0,4963.0,38114.0,22943.0,61057
Chennai,2010-11,36287.0,20178.0,56465.0,4038.0,957.0,4995.0,40325.0,21135.0,61460
Chennai,2011-12,32867.0,18281.0,51148.0,3948.0,611.0,4559.0,36815.0,18892.0,55707
Chennai,2012-13,30467.0,18547.0,49014.0,3907.0,483.0,4390.0,34374.0,19030.0,53404
Chennai,2013-14,29733.0,18153.0,47886.0,2800.0,419.0,3219.0,32533.0,18572.0,51105
Chennai,2014-15,30762.0,18484.0,49246.0,2926.0,369.0,3295.0,33688.0,18853.0,52541
Chennai,2015-16,28867.0,16692.0,45559.0,3670.0,829.0,4499.0,32537.0,17521.0,50058
Chennai,2016-17,30386.0,16043.0,46429.0,2946.0,839.0,3785.0,33332.0,16882.0,50214
Chennai,2017-18,31056.0,16684.0,47740.0,3154.0,988.0,4142.0,34210.0,17672.0,51882
Chennai,2018-19,31940.0,16170.0,48110.0,3739.0,1163.0,4902.0,35679.0,17333.0,53012
Chennai,2019-20,26555.0,15229.0,41784.0,3886.0,1088.0,4974.0,30441.0,16317.0,46758
Kamarajar,2005-06,1066.0,537.0,1603.0,7565.0,0.0,7565.0,8631.0,537.0,9168
Kamarajar,2006-07,653.0,1724.0,2377.0,8337.0,0.0,8337.0,8990.0,1724.0,10714
Kamarajar,2007-08,1212.0,2190.0,3402.0,8161.0,0.0,8161.0,9373.0,2190.0,11563
Kamarajar,2008-09,1848.0,1111.0,2959.0,8541.0,0.0,8541.0,10389.0,1111.0,11500
Kamarajar,2009-10,1313.0,936.0,2249.0,8454.0,0.0,8454.0,9767.0,936.0,10703
Kamarajar,2010-11,2048.0,1052.0,3100.0,7909.0,0.0,7909.0,9957.0,1052.0,11009
Kamarajar,2011-12,5457.0,1244.0,6701.0,8255.0,0.0,8255.0,13712.0,1244.0,14956
Kamarajar,2012-13,7724.0,1739.0,9463.0,8422.0,0.0,8422.0,16146.0,1739.0,17885
Kamarajar,2013-14,12310.0,2415.0,14725.0,12612.0,0.0,12612.0,24922.0,2415.0,27337
Kamarajar,2014-15,13921.0,2587.0,16508.0,13743.0,0.0,13743.0,27664.0,2587.0,30251
Kamarajar,2015-16,12359.0,2604.0,14963.0,17243.0,0.0,17243.0,29602.0,2604.0,32206
Kamarajar,2016-17,11060.0,2352.0,13412.0,16487.0,121.0,16608.0,27547.0,2473.0,30020
Kamarajar,2017-18,9278.0,2586.0,11864.0,18551.0,31.0,18582.0,27829.0,2617.0,30446
Kamarajar,2018-19,12480.0,2992.0,15472.0,19026.0,0.0,19026.0,31506.0,2992.0,34498
Kamarajar,2019-20,14469.0,3526.0,17995.0,13751.0,0.0,13751.0,28220.0,3526.0,31746
Paradip,2005-06,10950.0,12101.0,23051.0,474.0,9584.0,10058.0,11424.0,21685.0,33109
Paradip,2006-07,12826.0,13951.0,26777.0,836.0,10904.0,11740.0,13662.0,24855.0,38517
Paradip,2007-08,15103.0,14793.0,29896.0,1751.0,10790.0,12541.0,16854.0,25583.0,42437
Paradip,2008-09,18482.0,15181.0,33663.0,1409.0,11340.0,12749.0,19891.0,26521.0,46412
Paradip,2009-10,27509.0,17206.0,44715.0,1666.0,10630.0,12296.0,29175.0,27836.0,57011
Paradip,2010-11,29655.0,14489.0,44144.0,1565.0,9821.0,11386.0,31220.0,24310.0,55530
Paradip,2011-12,33790.0,7507.0,41297.0,2203.0,10754.0,12957.0,35993.0,18261.0,54254
Paradip,2012-13,36848.0,2098.0,38946.0,2268.0,15338.0,17606.0,39116.0,17436.0,56552
Paradip,2013-14,38509.0,7346.0,45855.0,2163.0,19985.0,22148.0,40672.0,27331.0,68003
Paradip,2014-15,44389.0,1692.0,46081.0,1876.0,23054.0,24930.0,46265.0,24746.0,71011
Paradip,2015-16,46683.0,770.0,47453.0,1547.0,27397.0,28944.0,48230.0,28167.0,76397
Paradip,2016-17,53291.0,10174.0,63465.0,597.0,24897.0,25494.0,53888.0,35071.0,88959
Paradip,2017-18,60740.0,9713.0,70453.0,762.0,30813.0,31575.0,61501.0,40526.0,102028
Paradip,2018-19,62045.0,8996.0,71041.0,1233.0,37028.0,38262.0,63278.0,46025.0,109303
Paradip,2019-20,59321.0,17959.0,77280.0,1102.0,34308.0,35409.0,60423.0,52267.0,112689
Vizag,2005-06,25055.0,15075.0,40130.0,5596.0,10075.0,15671.0,30651.0,25150.0,55801
Vizag,2006-07,26873.0,11654.0,38527.0,5682.0,12176.0,17858.0,32555.0,23830.0,56385
Vizag,2007-08,29145.0,15742.0,44887.0,6530.0,13180.0,19710.0,35675.0,28922.0,64597
Vizag,2008-09,29200.0,14158.0,43358.0,6460.0,14090.0,20550.0,35660.0,28248.0,63908
Vizag,2009-10,30181.0,14856.0,45037.0,5296.0,15168.0,20464.0,35477.0,30024.0,65501
Vizag,2010-11,30764.0,14227.0,44991.0,5364.0,17686.0,23050.0,36128.0,31913.0,68041
Vizag,2011-12,33120.0,11633.0,44753.0,5571.0,17096.0,22667.0,38691.0,28729.0,67420
Vizag,2012-13,30008.0,11203.0,41211.0,5266.0,12561.0,17827.0,35274.0,23764.0,59038
Vizag,2013-14,29499.0,11899.0,41398.0,4184.0,12922.0,17106.0,33683.0,24821.0,58504
Vizag,2014-15,34173.0,9234.0,43407.0,4587.0,10010.0,14597.0,38760.0,19244.0,58004
Vizag,2015-16,35546.0,6779.0,42325.0,4040.0,10670.0,14710.0,39586.0,17449.0,57035
Vizag,2016-17,33911.0,9258.0,43169.0,3370.0,14481.0,17851.0,37281.0,23739.0,61020
Vizag,2017-18,37834.0,9735.0,47569.0,3312.0,12656.0,15968.0,41146.0,22391.0,63537
Vizag,2018-19,40025.0,8446.0,48471.0,4270.0,12560.0,16830.0,44295.0,21006.0,65301
Vizag,2019-20,43778.0,12607.0,56385.0,3575.0,12762.0,16337.0,47353.0,25369.0,72722
Kolkata_Haldia,2005-06,32346.0,11679.0,44025.0,4392.0,4726.0,9118.0,36738.0,16405.0,53143
Kolkata_Haldia,2006-07,34594.0,12853.0,47447.0,3721.0,3882.0,7603.0,38315.0,16735.0,55050
Kolkata_Haldia,2007-08,35761.0,15151.0,50912.0,3280.0,3137.0,6417.0,39041.0,18288.0,57329
Kolkata_Haldia,2008-09,32920.0,14267.0,47187.0,3753.0,3280.0,7033.0,36673.0,17547.0,54220
Kolkata_Haldia,2009-10,25577.0,13757.0,39334.0,4274.0,2815.0,7089.0,29851.0,16572.0,46423
Kolkata_Haldia,2010-11,25734.0,13654.0,39388.0,4781.0,3376.0,8157.0,30515.0,17030.0,47545
Kolkata_Haldia,2011-12,24409.0,11428.0,35837.0,3559.0,3852.0,7411.0,27968.0,15280.0,43248
Kolkata_Haldia,2012-13,24528.0,9132.0,33660.0,2489.0,3779.0,6268.0,27017.0,12911.0,39928
Kolkata_Haldia,2013-14,25073.0,10327.0,35400.0,2351.0,3635.0,5986.0,27424.0,13962.0,41386
Kolkata_Haldia,2014-15,31875.0,6936.0,38811.0,4374.0,3108.0,7482.0,36249.0,10044.0,46293
Kolkata_Haldia,2015-16,35293.0,7689.0,42982.0,4084.0,3223.0,7307.0,39377.0,10912.0,50289
Kolkata_Haldia,2016-17,33253.0,10465.0,43718.0,3754.0,3479.0,7233.0,37007.0,13944.0,50951
Kolkata_Haldia,2017-18,36358.0,11100.0,47458.0,5992.0,4441.0,10433.0,42350.0,15541.0,57891
Kolkata_Haldia,2018-19,42355.0,10307.0,52662.0,6869.0,4232.0,11101.0,49224.0,14539.0,63763
Kolkata_Haldia,2019-20,40680.0,12757.0,53437.0,6894.0,3652.0,10546.0,47574.0,16409.0,63983
